品牌,型号,名称,分组,后置原因,类型,处理建议
IPS,CF6200,数字会议主机,模拟会讨系统（停产-销库存）,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,CF6800W,无线数字会议主机,模拟会讨系统（停产-销库存）,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DP130,智慧物联中控,DP控制器产品系列,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX120CS,分布式节点服务器,视频产品,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX120CS,分布式节点服务器,视频产品,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX120D-HD-KVM,H.264/H.265解码器,视频产品,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX120E-HD-KVM,H.264/H.265编码器,视频产品,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,DX120M-HD,多画面解码器,视频产品,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,PS310UN,10路智能电源管理器（网络版）,PDU电源管理器产品系列,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Symetrix,Prism 0x0*,数字音频处理器,Prism系列,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Symetrix,Prism 12x12,数字音频处理器,Prism系列,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Symetrix,Prism 12x12 Dante,数字音频处理器,Prism系列,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Symetrix,Prism 12x12*,数字音频处理器,Prism系列,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Symetrix,Prism 16x16,数字音频处理器,Prism系列,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Symetrix,Prism 16x16 Dante,数字音频处理器,Prism系列,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Symetrix,Prism 16x16*,数字音频处理器,Prism系列,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Symetrix,Prism 4x4,数字音频处理器,Prism系列,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Symetrix,Prism 4x4 Dante,数字音频处理器,Prism系列,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Symetrix,Prism 4x4*,数字音频处理器,Prism系列,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Symetrix,Prism 8x8,数字音频处理器,Prism系列,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Symetrix,Prism 8x8 Dante,数字音频处理器,Prism系列,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Symetrix,Prism 8x8*,数字音频处理器,Prism系列,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Televic,D-Cerno CU,中控单元,D-Cerno数字会议讨论系统,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Televic,D-Cerno CUR,中控单元,D-Cerno数字会议讨论系统,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
定制,定制,智慧物联系统现场实施（组合会议室、培训室、报告厅，不含差旅）,DP控制器产品系列,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
腾讯,SWL90003,腾讯会议rooms（100方）,客户端应用（配合物联控制硬件）,中控(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
IPS,XP100-CP2E,集中控制卡,视频产品,灯光(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Naostage,Kapta 640,舞台追踪相机,,灯光(V3),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
ALLEN&HEATH,ZEDi10FX,10通道现场+USB录音模拟调音台带FX,New ZED,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Apart,NETKIT-IR,多功能4 x 调幅/调频 RDS收音机&音源,控制工具,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Apart,NETKIT-RS,红外&串行控制接口盒,控制工具,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,AC-210A E,10A紧凑型电源调节器,紧凑型电源调节器,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,BB-RS232,RS232适配器,替换电源,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,CN-3600S E,"电源调节器/时序器,",电源时序器/调节器,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,F1500-UPS E,不间断电源 备份电源/电源调节器,不间断电源,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,GN-I,鹅 颈 灯,鹅 颈 灯,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,GN-LED,鹅 颈 灯,鹅 颈 灯,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,M-10Dz E,10A紧凑型电源调节器,MERIT Z 系列电源调节器,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,M-10Lz E,10A紧凑型电源调节器,MERIT Z 系列电源调节器,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,M-10x E,10A紧凑型电源调节器,Zone Mix 761,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,M-10x E,10A紧凑型电源调节器,Jupiter系列,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,M-10z E,10A紧凑型电源调节器,MERIT Z 系列电源调节器,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,P-1400 AR E,6A高级稳压器/电源调节器,PRESTIGE 系列稳压器/电源调节器,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-8C E,10A紧凑型电源调节器,dLive系列,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-8C E,10A紧凑型电源调节器,CLASSIC系列电源调节器,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-8C E,10A紧凑型电源调节器,Edge系列,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-8C E,10A紧凑型电源调节器,Radius NX系列,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-8C E,10A紧凑型电源调节器,Prism系列,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-8C E,10A紧凑型电源调节器,Solus NX系列,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-PLUS C E,10A紧凑型电源调节器,CLASSIC系列电源调节器,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
FURMAN,PL-PRO DMC E,16A紧凑型电源调节器,dLive系列,电源/PDU(非信号),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
